Label,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Majority?
P1,0,0,0,0,0,0,0,0,0,0,0
P2,0,0,0,0,0,0,0,0,0,1,0
P3,0,0,0,0,0,0,0,0,1,0,0
P4,0,0,0,0,0,0,0,0,1,1,0
P5,0,0,0,0,0,0,0,1,0,0,0
P6,0,0,0,0,0,0,0,1,0,1,0
P7,0,0,0,0,0,0,0,1,1,0,0
P8,0,0,0,0,0,0,0,1,1,1,0
P9,0,0,0,0,0,0,1,0,0,0,0
P10,0,0,0,0,0,0,1,0,0,1,0
P11,0,0,0,0,0,0,1,0,1,0,0
P12,0,0,0,0,0,0,1,0,1,1,0
P13,0,0,0,0,0,0,1,1,0,0,0
P14,0,0,0,0,0,0,1,1,0,1,0
P15,0,0,0,0,0,0,1,1,1,0,0
P16,0,0,0,0,0,0,1,1,1,1,0
P17,0,0,0,0,0,1,0,0,0,0,0
P18,0,0,0,0,0,1,0,0,0,1,0
P19,0,0,0,0,0,1,0,0,1,0,0
P20,0,0,0,0,0,1,0,0,1,1,0
P21,0,0,0,0,0,1,0,1,0,0,0
P22,0,0,0,0,0,1,0,1,0,1,0
P23,0,0,0,0,0,1,0,1,1,0,0
P24,0,0,0,0,0,1,0,1,1,1,0
P25,0,0,0,0,0,1,1,0,0,0,0
P26,0,0,0,0,0,1,1,0,0,1,0
P27,0,0,0,0,0,1,1,0,1,0,0
P28,0,0,0,0,0,1,1,0,1,1,0
P29,0,0,0,0,0,1,1,1,0,0,0
P30,0,0,0,0,0,1,1,1,0,1,0
P31,0,0,0,0,0,1,1,1,1,0,0
P32,0,0,0,0,0,1,1,1,1,1,1
P33,0,0,0,0,1,0,0,0,0,0,0
P34,0,0,0,0,1,0,0,0,0,1,0
P35,0,0,0,0,1,0,0,0,1,0,0
P36,0,0,0,0,1,0,0,0,1,1,0
P37,0,0,0,0,1,0,0,1,0,0,0
P38,0,0,0,0,1,0,0,1,0,1,0
P39,0,0,0,0,1,0,0,1,1,0,0
P40,0,0,0,0,1,0,0,1,1,1,0
P41,0,0,0,0,1,0,1,0,0,0,0
P42,0,0,0,0,1,0,1,0,0,1,0
P43,0,0,0,0,1,0,1,0,1,0,0
P44,0,0,0,0,1,0,1,0,1,1,0
P45,0,0,0,0,1,0,1,1,0,0,0
P46,0,0,0,0,1,0,1,1,0,1,0
P47,0,0,0,0,1,0,1,1,1,0,0
P48,0,0,0,0,1,0,1,1,1,1,1
P49,0,0,0,0,1,1,0,0,0,0,0
P50,0,0,0,0,1,1,0,0,0,1,0
P51,0,0,0,0,1,1,0,0,1,0,0
P52,0,0,0,0,1,1,0,0,1,1,0
P53,0,0,0,0,1,1,0,1,0,0,0
P54,0,0,0,0,1,1,0,1,0,1,0
P55,0,0,0,0,1,1,0,1,1,0,0
P56,0,0,0,0,1,1,0,1,1,1,1
P57,0,0,0,0,1,1,1,0,0,0,0
P58,0,0,0,0,1,1,1,0,0,1,0
P59,0,0,0,0,1,1,1,0,1,0,0
P60,0,0,0,0,1,1,1,0,1,1,1
P61,0,0,0,0,1,1,1,1,0,0,0
P62,0,0,0,0,1,1,1,1,0,1,1
P63,0,0,0,0,1,1,1,1,1,0,1
P64,0,0,0,0,1,1,1,1,1,1,1
P65,0,0,0,1,0,0,0,0,0,0,0
P66,0,0,0,1,0,0,0,0,0,1,0
P67,0,0,0,1,0,0,0,0,1,0,0
P68,0,0,0,1,0,0,0,0,1,1,0
P69,0,0,0,1,0,0,0,1,0,0,0
P70,0,0,0,1,0,0,0,1,0,1,0
P71,0,0,0,1,0,0,0,1,1,0,0
P72,0,0,0,1,0,0,0,1,1,1,0
P73,0,0,0,1,0,0,1,0,0,0,0
P74,0,0,0,1,0,0,1,0,0,1,0
P75,0,0,0,1,0,0,1,0,1,0,0
P76,0,0,0,1,0,0,1,0,1,1,0
P77,0,0,0,1,0,0,1,1,0,0,0
P78,0,0,0,1,0,0,1,1,0,1,0
P79,0,0,0,1,0,0,1,1,1,0,0
P80,0,0,0,1,0,0,1,1,1,1,1
P81,0,0,0,1,0,1,0,0,0,0,0
P82,0,0,0,1,0,1,0,0,0,1,0
P83,0,0,0,1,0,1,0,0,1,0,0
P84,0,0,0,1,0,1,0,0,1,1,0
P85,0,0,0,1,0,1,0,1,0,0,0
P86,0,0,0,1,0,1,0,1,0,1,0
P87,0,0,0,1,0,1,0,1,1,0,0
P88,0,0,0,1,0,1,0,1,1,1,1
P89,0,0,0,1,0,1,1,0,0,0,0
P90,0,0,0,1,0,1,1,0,0,1,0
P91,0,0,0,1,0,1,1,0,1,0,0
P92,0,0,0,1,0,1,1,0,1,1,1
P93,0,0,0,1,0,1,1,1,0,0,0
P94,0,0,0,1,0,1,1,1,0,1,1
P95,0,0,0,1,0,1,1,1,1,0,1
P96,0,0,0,1,0,1,1,1,1,1,1
P97,0,0,0,1,1,0,0,0,0,0,0
P98,0,0,0,1,1,0,0,0,0,1,0
P99,0,0,0,1,1,0,0,0,1,0,0
P100,0,0,0,1,1,0,0,0,1,1,0
P101,0,0,0,1,1,0,0,1,0,0,0
P102,0,0,0,1,1,0,0,1,0,1,0
P103,0,0,0,1,1,0,0,1,1,0,0
P104,0,0,0,1,1,0,0,1,1,1,1
P105,0,0,0,1,1,0,1,0,0,0,0
P106,0,0,0,1,1,0,1,0,0,1,0
P107,0,0,0,1,1,0,1,0,1,0,0
P108,0,0,0,1,1,0,1,0,1,1,1
P109,0,0,0,1,1,0,1,1,0,0,0
P110,0,0,0,1,1,0,1,1,0,1,1
P111,0,0,0,1,1,0,1,1,1,0,1
P112,0,0,0,1,1,0,1,1,1,1,1
P113,0,0,0,1,1,1,0,0,0,0,0
P114,0,0,0,1,1,1,0,0,0,1,0
P115,0,0,0,1,1,1,0,0,1,0,0
P116,0,0,0,1,1,1,0,0,1,1,1
P117,0,0,0,1,1,1,0,1,0,0,0
P118,0,0,0,1,1,1,0,1,0,1,1
P119,0,0,0,1,1,1,0,1,1,0,1
P120,0,0,0,1,1,1,0,1,1,1,1
P121,0,0,0,1,1,1,1,0,0,0,0
P122,0,0,0,1,1,1,1,0,0,1,1
P123,0,0,0,1,1,1,1,0,1,0,1
P124,0,0,0,1,1,1,1,0,1,1,1
P125,0,0,0,1,1,1,1,1,0,0,1
P126,0,0,0,1,1,1,1,1,0,1,1
P127,0,0,0,1,1,1,1,1,1,0,1
P128,0,0,0,1,1,1,1,1,1,1,1
P129,0,0,1,0,0,0,0,0,0,0,0
